model,protocol,mae,rmse,r2,mape_pct,n_train,n_test,seed
MLP,R,9.689621111708584,12.875172088993562,0.9161186482167089,10.532805497651369,379,95,86
MLP,R,10.053043607199768,13.958713529102072,0.9130366904381005,10.925811283288889,379,95,87
MLP,R,10.629495213407907,14.458017456638366,0.8855341152208218,10.522849996213415,379,95,88
MLP,R,12.69466484979235,16.450966025857326,0.8347093032029008,13.99465089222842,379,95,89
MLP,R,9.021989913969545,12.311282806450604,0.8772327593930594,10.459465028084255,379,95,90
MLP,R,8.488819812293942,12.380870791519518,0.9097040850215503,9.535382674988327,379,95,91
MLP,R,10.919239594062544,13.735790159448184,0.8694862222758514,12.552771118974773,379,95,92
MLP,R,10.136176558296688,15.188216062241034,0.8847558034015987,10.173411517710154,379,95,93
MLP,R,9.740704672282636,13.270420337756592,0.8995875439432224,10.436557567020772,379,95,94
MLP,R,13.132534440092265,18.215062606404345,0.8135915961152321,14.126534176621783,379,95,95
MLP,R,11.009830188892211,14.421579346333893,0.8834163673621656,12.185243630858842,379,95,96
MLP,R,9.07561565112276,11.661642617606825,0.9366605842674914,9.971747707569014,379,95,97
MLP,R,8.525991982480672,12.456971998740707,0.9070940845016677,9.242988209415167,379,95,98
MLP,R,8.942289247474971,12.071171706099982,0.9273948273578181,9.342562844452317,379,95,99
MLP,G,15.93245614909114,21.6360117234828,0.7984766166964838,17.297111712271622,379,95,0
MLP,G,10.254143262793447,12.518562595224672,0.8138088408515882,15.91885729190314,379,95,1
MLP,G,13.321685506860499,16.294069665156357,0.6812233501830492,20.84035633337546,379,95,2
MLP,G,17.354400831106283,22.202005279118804,0.8062255615871424,19.06687271596727,379,95,3
MLP,G,20.4752890808002,27.205440161829536,0.6881991642556964,20.705350620934716,379,95,4
